description,category
Back pay,Salary
Gig economy pay,Salary
Performance bonus 496,Salary
Performance bonus,Salary
Commission earned,Salary
Commission earned,Salary
Freelance payment received,Salary
Overtime salary,Salary
Freelance payment received,Salary
Performance bonus,Salary
Monthly salary,Salary
Paycheck 260,Salary
Contract payment,Salary
Refund received,Salary
Bonus payment,Salary
Monthly salary,Salary
Paycheck,Salary
Freelance project,Salary
Freelance payment received,Salary
Dividend income,Salary
Advance payment,Salary
Consulting fee,Salary
Refund received 111,Salary
Advance payment 425,Salary
Paycheck,Salary
Freelance payment received,Salary
Advance payment,Salary
Performance bonus,Salary
Incentive pay,Salary
Income,Salary
Paycheck,Salary
Tips received,Salary
Gig economy pay 228,Salary
Commission earned,Salary
Refund received,Salary
Back pay,Salary
Performance bonus,Salary
Refund received 144,Salary
Royalty income,Salary
Gig economy pay,Salary
Performance bonus,Salary
Salary credit,Salary
Performance bonus 321,Salary
Stocks dividend,Salary
Paycheck 142,Salary
Part-time income,Salary
Overtime salary 204,Salary
Refund received,Salary
Freelance payment received 162,Salary
Royalty income,Salary
Dividend income 49,Salary
Consulting fee,Salary
Incentive pay,Salary
Contract payment 50,Salary
Gig economy pay,Salary
Back pay,Salary
Refund received,Salary
Salary credit,Salary
Performance bonus,Salary
Wage payment,Salary
Commission earned,Salary
Consulting fee,Salary
Consulting fee 159,Salary
Dividend income,Salary
Freelance payment received 146,Salary
Contract payment,Salary
Freelance payment received,Salary
Commission earned,Salary
Freelance project,Salary
Overtime pay,Salary
Part-time income,Salary
Performance bonus,Salary
Back pay,Salary
Refund received,Salary
Contract payment,Salary
Overtime salary,Salary
Part-time income,Salary
Back pay,Salary
Overtime pay,Salary
Consulting fee,Salary
Refund received,Salary
Paycheck,Salary
Advance payment,Salary
Refund received,Salary
Performance bonus,Salary
Advance payment 284,Salary
Consulting fee,Salary
Incentive pay 377,Salary
Royalty income,Salary
Overtime pay,Salary
Stocks dividend,Salary
Freelance payment received,Salary
Contract payment,Salary
Part-time income,Salary
Commission earned,Salary
Part-time income,Salary
Performance bonus 311,Salary
Freelance project,Salary
Incentive pay,Salary
Paycheck,Salary
Monthly salary,Salary
Gig economy pay,Salary
Incentive pay,Salary
Freelance payment received 132,Salary
Salary credit,Salary
Consulting fee,Salary
Monthly salary,Salary
Overtime salary,Salary
Performance bonus,Salary
Refund received,Salary
Contract payment 55,Salary
Dividend income,Salary
Wage payment,Salary
Advance payment,Salary
Commission earned,Salary
Performance bonus,Salary
Salary credit,Salary
Tips received 17,Salary
Freelance project 217,Salary
Freelance payment received 486,Salary
Wage payment 164,Salary
Refund received,Salary
Overtime pay,Salary
Gig economy pay,Salary
Other expense,Others
Other expense,Others
Charity donation 368,Others
Cash withdrawal 180,Others
Cash withdrawal,Others
Bank fee,Others
Transfer to savings,Others
Bank fee,Others
Uncategorized,Others
Transfer to savings,Others
Bank fee 341,Others
Uncategorized,Others
Transfer to savings,Others
Uncategorized,Others
Transfer to savings,Others
Cash withdrawal,Others
Bank fee,Others
Transfer to savings,Others
Charity donation,Others
Other expense,Others
Gift to family,Others
Uncategorized,Others
Gift to family,Others
Other expense,Others
Charity donation,Others
Cash withdrawal,Others
Gift to family 161,Others
Cash withdrawal 360,Others
Bank fee,Others
Uncategorized,Others
Uncategorized,Others
Other expense,Others
Bank fee,Others
Other expense,Others
Bank fee,Others
Other expense,Others
Gift to family,Others
Other expense 422,Others
Uncategorized,Others
Other expense,Others
Other expense,Others
Other expense,Others
Cash withdrawal,Others
Transfer to savings,Others
Charity donation,Others
Charity donation 239,Others
Other expense,Others
Cash withdrawal,Others
Charity donation,Others
Gift to family,Others
Miscellaneous expense,Others
Other expense,Others
Uncategorized 429,Others
Transfer to savings,Others
Miscellaneous expense,Others
Gift to family,Others
Cash withdrawal,Others
Cash withdrawal,Others
Transfer to savings,Others
Gift to family,Others
Uncategorized 76,Others
Transfer to savings,Others
Miscellaneous expense,Others
Charity donation,Others
Bank fee,Others
Charity donation,Others
Charity donation,Others
Cash withdrawal 389,Others
Uncategorized,Others
Charity donation,Others
Bank fee,Others
Bank fee,Others
Gift to family,Others
Uncategorized,Others
Charity donation,Others
Uncategorized,Others
Cash withdrawal,Others
Charity donation,Others
Gift to family,Others
Other expense,Others
Miscellaneous expense,Others
Cash withdrawal,Others
Other expense,Others
Gift to family,Others
Uncategorized,Others
Uncategorized,Others
Other expense,Others
Charity donation,Others
Bank fee,Others
Other expense,Others
Miscellaneous expense 325,Others
Other expense 480,Others
Bank fee,Others
Miscellaneous expense,Others
Uncategorized,Others
Bank fee,Others
Charity donation 482,Others
Charity donation 189,Others
Charity donation 345,Others
Bank fee 325,Others
Charity donation,Others
Transfer to savings,Others
Cash withdrawal,Others
Miscellaneous expense,Others
Cash withdrawal 120,Others
Other expense 361,Others
Gift to family,Others
Uncategorized,Others
Other expense 201,Others
Cash withdrawal,Others
Cash withdrawal 193,Others
Charity donation 401,Others
Bank fee,Others
Bank fee 293,Others
Miscellaneous expense,Others
Bank fee,Others
Transfer to savings,Others
Bank fee,Others
Other expense,Others
Cash withdrawal,Others
Bank fee,Others
Uncategorized,Others
Uncategorized,Others
Bank fee,Others
Cash withdrawal,Others
Charity donation,Others
Miscellaneous expense,Others
Charity donation,Others
Transfer to savings,Others
Charity donation,Others
Transfer to savings,Others
Cash withdrawal,Others
Cash withdrawal,Others
Miscellaneous expense,Others
Gift to family 445,Others
Uncategorized,Others
Bank fee,Others
Cash withdrawal 39,Others
Miscellaneous expense,Others
Miscellaneous expense,Others
Uncategorized,Others
Uncategorized,Others
Uncategorized 279,Others
Bank fee,Others
Charity donation 476,Others
Transfer to savings,Others
Bank fee,Others
Uncategorized,Others
Cash withdrawal,Others
Uncategorized,Others
